"peakRAM","time","ARI","NMI","method","dataset"
98.2,1.25067639350891,0.535462298384224,0.664358723862945,"Seurat","Baron_MouPan_1"
205.9,9.8405168056488,0.721424546984108,0.659985178599746,"monocle3","Baron_MouPan_1"
402.7,13.7140181064606,0.709503691823529,0.614892487650623,"SHARP","Baron_MouPan_1"
32.5,1.18604922294617,0.541795816510237,0.606051410344893,"densityCut","Baron_MouPan_1"
651.4,117.101800203323,0.601722014704309,0.620155680550654,"scEVE","Baron_MouPan_1"
